Epoch: 1030 | Loss_D: 0.43740832805633545 | Loss_G: 2.0764222145080566 
Epoch: 1040 | Loss_D: 0.5589723587036133 | Loss_G: 1.7955325841903687 
Epoch: 1050 | Loss_D: 0.5422065854072571 | Loss_G: 2.1011369228363037 
Epoch: 1060 | Loss_D: 0.30226653814315796 | Loss_G: 2.6141397953033447 
Epoch: 1070 | Loss_D: 0.45864158868789673 | Loss_G: 2.135366678237915 
Epoch: 1080 | Loss_D: 0.4316394031047821 | Loss_G: 2.2013628482818604 
Epoch: 1090 | Loss_D: 0.3074578046798706 | Loss_G: 2.344296932220459 
Epoch: 1100 | Loss_D: 0.4118049144744873 | Loss_G: 2.209867238998413 
Epoch: 1110 | Loss_D: 0.2939320504665375 | Loss_G: 2.2452809810638428 
Epoch: 1120 | Loss_D: 0.35534989833831787 | Loss_G: 2.256591796875 
Epoch: 1130 | Loss_D: 0.39826279878616333 | Loss_G: 2.6891379356384277 
Epoch: 1140 | Loss_D: 0.4468953609466553 | Loss_G: 2.300715684890747 
Epoch: 1150 | Loss_D: 0.3257182836532593 | Loss_G: 2.509716272354126 
Epoch: 1160 | Loss_D: 0.3327634632587433 | Loss_G: 2.523486375808716 
Epoch: 1170 | Loss_D: 0.3528099060058594 | Loss_G: 2.4101645946502686 
Epoch: 1180 | Loss_D: 0.30932289361953735 | Loss_G: 2.3761301040649414 
Epoch: 1190 | Loss_D: 0.3367505669593811 | Loss_G: 2.3974452018737793 
Epoch: 1200 | Loss_D: 0.4166305661201477 | Loss_G: 2.390817165374756 
Epoch: 1210 | Loss_D: 0.5717236995697021 | Loss_G: 2.6874678134918213 
Epoch: 1220 | Loss_D: 0.5027807950973511 | Loss_G: 2.2454144954681396 
Epoch: 1230 | Loss_D: 0.43818631768226624 | Loss_G: 2.4296979904174805 
Epoch: 1240 | Loss_D: 0.27178311347961426 | Loss_G: 2.6053168773651123 
Epoch: 1250 | Loss_D: 0.30275601148605347 | Loss_G: 2.3715946674346924 
Epoch: 1260 | Loss_D: 0.2385772168636322 | Loss_G: 2.890793800354004 
Epoch: 1270 | Loss_D: 0.2875993251800537 | Loss_G: 2.3225595951080322 
Epoch: 1280 | Loss_D: 0.4072643220424652 | Loss_G: 2.475062847137451 
Epoch: 1290 | Loss_D: 0.23825913667678833 | Loss_G: 3.083448886871338 
Epoch: 1300 | Loss_D: 0.3096013069152832 | Loss_G: 2.910390853881836 
Epoch: 1310 | Loss_D: 0.27560436725616455 | Loss_G: 2.369856119155884 
Epoch: 1320 | Loss_D: 0.2402208149433136 | Loss_G: 2.656860113143921 
Epoch: 1330 | Loss_D: 0.13459166884422302 | Loss_G: 3.2166907787323 
Epoch: 1340 | Loss_D: 0.26769256591796875 | Loss_G: 3.035261631011963 
Epoch: 1350 | Loss_D: 0.1661663055419922 | Loss_G: 3.3825244903564453 
Epoch: 1360 | Loss_D: 0.22348710894584656 | Loss_G: 2.967564582824707 
Epoch: 1370 | Loss_D: 0.24285590648651123 | Loss_G: 2.749581813812256 
Epoch: 1380 | Loss_D: 0.2908107042312622 | Loss_G: 3.151724338531494 
Epoch: 1390 | Loss_D: 0.19865715503692627 | Loss_G: 3.2345056533813477 
Epoch: 1400 | Loss_D: 0.2484498918056488 | Loss_G: 2.6768009662628174 
Epoch: 1410 | Loss_D: 0.3661167621612549 | Loss_G: 2.5000202655792236 
Epoch: 1420 | Loss_D: 0.19697166979312897 | Loss_G: 2.9743728637695312 
Epoch: 1430 | Loss_D: 0.21276578307151794 | Loss_G: 3.0529730319976807 
Epoch: 1440 | Loss_D: 0.2865099012851715 | Loss_G: 2.7836573123931885 
Epoch: 1450 | Loss_D: 0.2242162525653839 | Loss_G: 2.872291088104248 
Epoch: 1460 | Loss_D: 0.19658567011356354 | Loss_G: 3.074306011199951 
Epoch: 1470 | Loss_D: 0.1803201138973236 | Loss_G: 3.2181174755096436 
Epoch: 1480 | Loss_D: 0.2440962791442871 | Loss_G: 2.963249921798706 
Epoch: 1490 | Loss_D: 0.23474343121051788 | Loss_G: 2.897636651992798 
Epoch: 1500 | Loss_D: 0.20944838225841522 | Loss_G: 2.9527318477630615 
Epoch: 1510 | Loss_D: 0.2542257010936737 | Loss_G: 2.7102341651916504 
Epoch: 1520 | Loss_D: 0.2682715356349945 | Loss_G: 3.0954315662384033 
Epoch: 1530 | Loss_D: 0.28280073404312134 | Loss_G: 2.9657135009765625 
Epoch: 1540 | Loss_D: 0.1558494120836258 | Loss_G: 3.068361282348633 
Epoch: 1550 | Loss_D: 0.3600817918777466 | Loss_G: 2.9831809997558594 
Epoch: 1560 | Loss_D: 0.18192270398139954 | Loss_G: 3.3498356342315674 
Epoch: 1570 | Loss_D: 0.19672146439552307 | Loss_G: 3.608333110809326 
Epoch: 1580 | Loss_D: 0.23616282641887665 | Loss_G: 3.3545148372650146 
Epoch: 1590 | Loss_D: 0.19786806404590607 | Loss_G: 3.273813486099243 
Epoch: 1600 | Loss_D: 0.2671719789505005 | Loss_G: 3.256584882736206 
Epoch: 1610 | Loss_D: 0.21134226024150848 | Loss_G: 3.1564228534698486 
Epoch: 1620 | Loss_D: 0.31678634881973267 | Loss_G: 3.2877118587493896 
Epoch: 1630 | Loss_D: 0.2723133862018585 | Loss_G: 3.3214237689971924 
Epoch: 1640 | Loss_D: 0.2549615204334259 | Loss_G: 3.4465887546539307 
Epoch: 1650 | Loss_D: 0.18600894510746002 | Loss_G: 3.4050164222717285 
Epoch: 1660 | Loss_D: 0.27242469787597656 | Loss_G: 3.032081127166748 
Epoch: 1670 | Loss_D: 0.19811491668224335 | Loss_G: 3.2504289150238037 
Epoch: 1680 | Loss_D: 0.186651349067688 | Loss_G: 3.574749231338501 
Epoch: 1690 | Loss_D: 0.23800264298915863 | Loss_G: 3.458221435546875 
Epoch: 1700 | Loss_D: 0.15134656429290771 | Loss_G: 3.8498880863189697 
Epoch: 1710 | Loss_D: 0.23883245885372162 | Loss_G: 3.069669008255005 
Epoch: 1720 | Loss_D: 0.16337397694587708 | Loss_G: 3.9577300548553467 
Epoch: 1730 | Loss_D: 0.1979907900094986 | Loss_G: 3.3785400390625 
Epoch: 1740 | Loss_D: 0.14237017929553986 | Loss_G: 3.2814884185791016 
Epoch: 1750 | Loss_D: 0.17509417235851288 | Loss_G: 4.033001899719238 
Epoch: 1760 | Loss_D: 0.13713179528713226 | Loss_G: 3.8597943782806396 
Epoch: 1770 | Loss_D: 0.27019986510276794 | Loss_G: 3.184638500213623 
Epoch: 1780 | Loss_D: 0.10710746049880981 | Loss_G: 4.236840724945068 
Epoch: 1790 | Loss_D: 0.18182013928890228 | Loss_G: 4.500970840454102 
Epoch: 1800 | Loss_D: 0.17963849008083344 | Loss_G: 3.8258159160614014 
Epoch: 1810 | Loss_D: 0.11692345142364502 | Loss_G: 4.473093509674072 
Epoch: 1820 | Loss_D: 0.16979636251926422 | Loss_G: 3.621281623840332 
Epoch: 1830 | Loss_D: 0.07808494567871094 | Loss_G: 4.57651948928833 
Epoch: 1840 | Loss_D: 0.061235055327415466 | Loss_G: 4.231759071350098 
Epoch: 1850 | Loss_D: 0.11381591856479645 | Loss_G: 4.005466461181641 
Epoch: 1860 | Loss_D: 0.23589633405208588 | Loss_G: 3.9257476329803467 
Epoch: 1870 | Loss_D: 0.10069307684898376 | Loss_G: 3.7937231063842773 
Epoch: 1880 | Loss_D: 0.1778392493724823 | Loss_G: 4.1496968269348145 
Epoch: 1890 | Loss_D: 0.15926873683929443 | Loss_G: 4.264398097991943 
Epoch: 1900 | Loss_D: 0.1275244951248169 | Loss_G: 4.244215965270996 
Epoch: 1910 | Loss_D: 0.07547878473997116 | Loss_G: 3.7294297218322754 
Epoch: 1920 | Loss_D: 0.16965584456920624 | Loss_G: 4.020121097564697 
Epoch: 1930 | Loss_D: 0.10920524597167969 | Loss_G: 4.07097053527832 
Epoch: 1940 | Loss_D: 0.10291098058223724 | Loss_G: 4.164718151092529 
Epoch: 1950 | Loss_D: 0.12076054513454437 | Loss_G: 4.373850345611572 
Epoch: 1960 | Loss_D: 0.2459719330072403 | Loss_G: 4.10516357421875 
Epoch: 1970 | Loss_D: 0.18735966086387634 | Loss_G: 3.790618658065796 
Epoch: 1980 | Loss_D: 0.13194802403450012 | Loss_G: 3.881373643875122 
Epoch: 1990 | Loss_D: 0.27386900782585144 | Loss_G: 4.737192630767822 
Epoch: 2000 | Loss_D: 0.0872311145067215 | Loss_G: 4.315296173095703 
Epoch: 2010 | Loss_D: 0.07821258902549744 | Loss_G: 5.175394535064697 
Epoch: 2020 | Loss_D: 0.11261702328920364 | Loss_G: 4.056431770324707 
Epoch: 2030 | Loss_D: 0.12781381607055664 | Loss_G: 4.176566123962402 
Epoch: 2040 | Loss_D: 0.16716334223747253 | Loss_G: 4.00807523727417 
Epoch: 2050 | Loss_D: 0.18051832914352417 | Loss_G: 3.747645854949951 
Epoch: 2060 | Loss_D: 0.23289020359516144 | Loss_G: 3.6519408226013184 
Epoch: 2070 | Loss_D: 0.17394034564495087 | Loss_G: 4.03739595413208 
Epoch: 2080 | Loss_D: 0.12172680348157883 | Loss_G: 4.304083347320557 
Epoch: 2090 | Loss_D: 0.19274602830410004 | Loss_G: 4.030407428741455 
Epoch: 2100 | Loss_D: 0.25919604301452637 | Loss_G: 4.106961727142334 
Epoch: 2110 | Loss_D: 0.16320130228996277 | Loss_G: 4.451924800872803 
Epoch: 2120 | Loss_D: 0.119465172290802 | Loss_G: 3.8733348846435547 
Epoch: 2130 | Loss_D: 0.13473884761333466 | Loss_G: 4.01602029800415 
Epoch: 2140 | Loss_D: 0.10241809487342834 | Loss_G: 4.998279571533203 
Epoch: 2150 | Loss_D: 0.0930171012878418 | Loss_G: 4.434260368347168 
Epoch: 2160 | Loss_D: 0.08552448451519012 | Loss_G: 4.313427925109863 
Epoch: 2170 | Loss_D: 0.0782804861664772 | Loss_G: 4.3346405029296875 
Epoch: 2180 | Loss_D: 0.3289569914340973 | Loss_G: 4.495699405670166 
Epoch: 2190 | Loss_D: 0.11950497329235077 | Loss_G: 4.1172380447387695 
Epoch: 2200 | Loss_D: 0.1704229861497879 | Loss_G: 4.005472660064697 
Epoch: 2210 | Loss_D: 0.10905713587999344 | Loss_G: 4.039051532745361 
Epoch: 2220 | Loss_D: 0.10408535599708557 | Loss_G: 4.107808589935303 
Epoch: 2230 | Loss_D: 0.07843514531850815 | Loss_G: 4.551720142364502 
Epoch: 2240 | Loss_D: 0.11271275579929352 | Loss_G: 4.982842922210693 
Epoch: 2250 | Loss_D: 0.1031147688627243 | Loss_G: 4.252631664276123 
Epoch: 2260 | Loss_D: 0.15046018362045288 | Loss_G: 4.581960678100586 
Epoch: 2270 | Loss_D: 0.1412954032421112 | Loss_G: 4.29445743560791 
Epoch: 2280 | Loss_D: 0.06934377551078796 | Loss_G: 4.330407619476318 
Epoch: 2290 | Loss_D: 0.21865074336528778 | Loss_G: 5.151336193084717 
Epoch: 2300 | Loss_D: 0.08034893870353699 | Loss_G: 4.750320911407471 
Epoch: 2310 | Loss_D: 0.07804311811923981 | Loss_G: 5.4790120124816895 
Epoch: 2320 | Loss_D: 0.07662356644868851 | Loss_G: 4.997025012969971 
Epoch: 2330 | Loss_D: 0.3102782070636749 | Loss_G: 5.090946197509766 
Epoch: 2340 | Loss_D: 0.21034608781337738 | Loss_G: 4.659440040588379 
Epoch: 2350 | Loss_D: 0.06134730577468872 | Loss_G: 4.837475299835205 
Epoch: 2360 | Loss_D: 0.09747542440891266 | Loss_G: 4.55299186706543 
Epoch: 2370 | Loss_D: 0.08458481729030609 | Loss_G: 4.4825825691223145 
Epoch: 2380 | Loss_D: 0.09394583106040955 | Loss_G: 4.297278881072998 
Epoch: 2390 | Loss_D: 0.06646842509508133 | Loss_G: 4.469737529754639 
Epoch: 2400 | Loss_D: 0.13693059980869293 | Loss_G: 4.133387565612793 
Epoch: 2410 | Loss_D: 0.12989947199821472 | Loss_G: 4.7997822761535645 
Epoch: 2420 | Loss_D: 0.05374729633331299 | Loss_G: 4.615562915802002 
Epoch: 2430 | Loss_D: 0.15247413516044617 | Loss_G: 4.42703104019165 
Epoch: 2440 | Loss_D: 0.10825338959693909 | Loss_G: 4.63938570022583 
Epoch: 2450 | Loss_D: 0.20197325944900513 | Loss_G: 4.541390419006348 
Epoch: 2460 | Loss_D: 0.08346985280513763 | Loss_G: 5.153179168701172 
Epoch: 2470 | Loss_D: 0.16019035875797272 | Loss_G: 5.0041584968566895 
Epoch: 2480 | Loss_D: 0.1509833037853241 | Loss_G: 4.993566989898682 
Epoch: 2490 | Loss_D: 0.1275322586297989 | Loss_G: 5.273175239562988 
Epoch: 2500 | Loss_D: 0.2934225797653198 | Loss_G: 4.15418815612793 
Epoch: 2510 | Loss_D: 0.1101643294095993 | Loss_G: 4.2603888511657715 
Epoch: 2520 | Loss_D: 0.28153911232948303 | Loss_G: 3.7849302291870117 
Epoch: 2530 | Loss_D: 0.09944429993629456 | Loss_G: 4.659776210784912 
Epoch: 2540 | Loss_D: 0.15352387726306915 | Loss_G: 4.539401054382324 
Epoch: 2550 | Loss_D: 0.06251728534698486 | Loss_G: 5.082404613494873 
Epoch: 2560 | Loss_D: 0.04992556571960449 | Loss_G: 6.235818386077881 
Epoch: 2570 | Loss_D: 0.165416419506073 | Loss_G: 5.0420122146606445 
Epoch: 2580 | Loss_D: 0.20480629801750183 | Loss_G: 4.222849369049072 
Epoch: 2590 | Loss_D: 0.25569456815719604 | Loss_G: 4.177009105682373 
Epoch: 2600 | Loss_D: 0.1592898815870285 | Loss_G: 3.716174364089966 
Epoch: 2610 | Loss_D: 0.10289923846721649 | Loss_G: 4.758988857269287 
Epoch: 2620 | Loss_D: 0.0823645144701004 | Loss_G: 4.716905117034912 
Epoch: 2630 | Loss_D: 0.06238206475973129 | Loss_G: 4.521723747253418 
Epoch: 2640 | Loss_D: 0.11081923544406891 | Loss_G: 4.41578483581543 
Epoch: 2650 | Loss_D: 0.40567314624786377 | Loss_G: 4.258758544921875 
Epoch: 2660 | Loss_D: 0.16981446743011475 | Loss_G: 4.7960286140441895 
Epoch: 2670 | Loss_D: 0.08837079256772995 | Loss_G: 4.538388252258301 
Epoch: 2680 | Loss_D: 0.11997058987617493 | Loss_G: 4.364729881286621 
Epoch: 2690 | Loss_D: 0.13138148188591003 | Loss_G: 4.715738773345947 
Epoch: 2700 | Loss_D: 0.1363876461982727 | Loss_G: 4.684427261352539 
Epoch: 2710 | Loss_D: 0.10416305065155029 | Loss_G: 4.646853923797607 
Epoch: 2720 | Loss_D: 0.16297754645347595 | Loss_G: 4.380577087402344 
Epoch: 2730 | Loss_D: 0.2336992770433426 | Loss_G: 4.992283821105957 
Epoch: 2740 | Loss_D: 0.051954105496406555 | Loss_G: 5.13197135925293 
Epoch: 2750 | Loss_D: 0.06079983711242676 | Loss_G: 5.283958911895752 
Epoch: 2760 | Loss_D: 0.1326935738325119 | Loss_G: 4.731443405151367 
Epoch: 2770 | Loss_D: 0.1307595819234848 | Loss_G: 5.714616775512695 
Epoch: 2780 | Loss_D: 0.07652493566274643 | Loss_G: 5.035892963409424 
Epoch: 2790 | Loss_D: 0.09888974577188492 | Loss_G: 4.755008697509766 
Epoch: 2800 | Loss_D: 0.19653213024139404 | Loss_G: 4.653901100158691 
Epoch: 2810 | Loss_D: 0.1432894915342331 | Loss_G: 4.910643577575684 
Epoch: 2820 | Loss_D: 0.20412912964820862 | Loss_G: 4.860490798950195 
Epoch: 2830 | Loss_D: 0.18452498316764832 | Loss_G: 5.617525577545166 
Epoch: 2840 | Loss_D: 0.04849793016910553 | Loss_G: 4.678085803985596 
Epoch: 2850 | Loss_D: 0.06645896285772324 | Loss_G: 6.51721715927124 
Epoch: 2860 | Loss_D: 0.02360668033361435 | Loss_G: 6.020016193389893 
Epoch: 2870 | Loss_D: 0.1540471613407135 | Loss_G: 5.087822437286377 
Epoch: 2880 | Loss_D: 0.04015010967850685 | Loss_G: 5.411748886108398 
Epoch: 2890 | Loss_D: 0.04965507984161377 | Loss_G: 5.502030849456787 
Epoch: 2900 | Loss_D: 0.31810998916625977 | Loss_G: 5.073015213012695 
Epoch: 2910 | Loss_D: 0.04879412427544594 | Loss_G: 5.201009750366211 
Epoch: 2920 | Loss_D: 0.10160604864358902 | Loss_G: 4.341526508331299 
Epoch: 2930 | Loss_D: 0.1343129724264145 | Loss_G: 4.381554126739502 
Epoch: 2940 | Loss_D: 0.09612087905406952 | Loss_G: 5.216104984283447 
Epoch: 2950 | Loss_D: 0.09181435406208038 | Loss_G: 5.438955307006836 
Epoch: 2960 | Loss_D: 0.13347938656806946 | Loss_G: 5.014544486999512 
Epoch: 2970 | Loss_D: 0.06703004240989685 | Loss_G: 4.907166957855225 
Epoch: 2980 | Loss_D: 0.09440891444683075 | Loss_G: 4.670535564422607 
Epoch: 2990 | Loss_D: 0.08087627589702606 | Loss_G: 5.3268818855285645 
